id,balance,update_date
0,13.63,2021-07-02
1,12.91,2021-07-02
4,2806.75,2021-07-02
7,0.38,2021-07-02
8,25.04,2021-07-02
10,-4.31,2021-07-02
12,2236.88,2021-07-02
15,8857.9,2021-07-02
16,129.9,2021-07-02
17,1.0,2021-07-02
18,3.81,2021-07-02
19,282.72,2021-07-02
23,1470.48,2021-07-02
25,595.98,2021-07-02
26,33932.5,2021-07-02
27,3867.66,2021-07-02
28,213.46,2021-07-02
29,2198.02,2021-07-02
31,4.1,2021-07-02
35,31256.46,2021-07-02
37,3.11,2021-07-02
38,5008.53,2021-07-02
39,492.22,2021-07-02
40,38651.23,2021-07-02
41,327.21,2021-07-02
45,-147.88,2021-07-02
46,249.15,2021-07-02
47,52.46,2021-07-02
48,53.11,2021-07-02
49,56.88,2021-07-02
50,0.13,2021-07-02
51,22.14,2021-07-02
53,396.57,2021-07-02
54,735.0,2021-07-02
55,67.39,2021-07-02
57,2600.37,2021-07-02
58,0.47,2021-07-02
59,26842.66,2021-07-02
61,71.68,2021-07-02
62,317.36,2021-07-02
64,88.85,2021-07-02
65,-454.77,2021-07-02
68,-571.13,2021-07-02
74,18.35,2021-07-02
80,54.43,2021-07-02
81,30.35,2021-07-02
83,96.96,2021-07-02
84,500.62,2021-07-02
85,10.42,2021-07-02
90,132.07,2021-07-02
91,996.3,2021-07-02
92,14.62,2021-07-02
93,412.8,2021-07-02
94,293.28,2021-07-02
96,2.87,2021-07-02
97,15.9,2021-07-02
99,907.0,2021-07-02
100,65.72,2021-07-02
101,10066.4,2021-07-02
106,-1172.86,2021-07-02
107,1.09,2021-07-02
109,-206.71,2021-07-02
110,42974.05,2021-07-02
111,18813.33,2021-07-02
112,4190.12,2021-07-02
116,411.47,2021-07-02
118,62.58,2021-07-02
123,1721.38,2021-07-02
124,0.19,2021-07-02
126,-280.63,2021-07-02
127,828.11,2021-07-02
128,2424.41,2021-07-02
129,126.0,2021-07-02
131,-1175.89,2021-07-02
133,202.21,2021-07-02
134,82.3,2021-07-02
141,2276.1,2021-07-02
143,0.46,2021-07-02
144,0.6,2021-07-02
145,1.86,2021-07-02
147,-30.38,2021-07-02
148,-3402.47,2021-07-02
149,1218.02,2021-07-02
150,47025.47,2021-07-02
152,-1490.07,2021-07-02
155,-156.55,2021-07-02
156,59.7,2021-07-02
157,701.91,2021-07-02
158,283.24,2021-07-02
161,2471.78,2021-07-02
162,0.25,2021-07-02
163,1278.18,2021-07-02
164,31.22,2021-07-02
165,1112.05,2021-07-02
166,0.02,2021-07-02
169,-1641.44,2021-07-02
172,3.14,2021-07-02
173,1295.18,2021-07-02
175,126.32,2021-07-02
177,5000.74,2021-07-02
178,3301.6,2021-07-02
179,63.6,2021-07-02
180,9348.81,2021-07-02
181,2667.56,2021-07-02
182,15.04,2021-07-02
184,-20.18,2021-07-02
185,-429.38,2021-07-02
186,-7125.04,2021-07-02
187,130.66,2021-07-02
189,979.78,2021-07-02
190,72.0,2021-07-02
192,-1724.17,2021-07-02
196,82.89,2021-07-02
199,233.92,2021-07-02
200,1.18,2021-07-02
202,302.82,2021-07-02
203,2429.38,2021-07-02
210,1.04,2021-07-02
212,220.8,2021-07-02
214,44.48,2021-07-02
217,679.43,2021-07-02
218,1401.9,2021-07-02
221,3940.55,2021-07-02
222,0.53,2021-07-02
223,211.08,2021-07-02
224,0.97,2021-07-02
225,3.89,2021-07-02
227,72.09,2021-07-02
228,1.21,2021-07-02
230,2.44,2021-07-02
231,14.01,2021-07-02
232,9639.82,2021-07-02
233,17.64,2021-07-02
235,0.3,2021-07-02
236,5.69,2021-07-02
240,24.62,2021-07-02
243,112.41,2021-07-02
244,35.61,2021-07-02
245,0.49,2021-07-02
251,-910.68,2021-07-02
253,-771.55,2021-07-02
254,1.14,2021-07-02
256,0.81,2021-07-02
257,88.85,2021-07-02
258,3.87,2021-07-02
261,1433.18,2021-07-02
263,245.43,2021-07-02
265,146.72,2021-07-02
267,-372.17,2021-07-02
269,355.2,2021-07-02
270,196.96,2021-07-02
274,0.58,2021-07-02
275,23.31,2021-07-02
276,1825.75,2021-07-02
278,98.22,2021-07-02
279,2.98,2021-07-02
283,90.73,2021-07-02
284,72.58,2021-07-02
285,275.18,2021-07-02
286,780.63,2021-07-02
287,1467.77,2021-07-02
288,781.45,2021-07-02
289,100.0,2021-07-02
292,2088.51,2021-07-02
293,161.67,2021-07-02
296,-1618.53,2021-07-02
300,0.23,2021-07-02
301,3767.47,2021-07-02
302,6892.62,2021-07-02
304,3902.83,2021-07-02
305,169.06,2021-07-02
308,0.62,2021-07-02
310,2473.33,2021-07-02
311,447.81,2021-07-02
312,1.28,2021-07-02
315,55.17,2021-07-02
316,0.56,2021-07-02
318,1.1,2021-07-02
319,8488.57,2021-07-02
321,4508.16,2021-07-02
322,719.84,2021-07-02
323,50.37,2021-07-02
325,-207.19,2021-07-02
326,35.75,2021-07-02
327,1.68,2021-07-02
328,-310.61,2021-07-02
331,56.69,2021-07-02
335,74.25,2021-07-02
338,-3309.42,2021-07-02
339,7547.29,2021-07-02
340,744.45,2021-07-02
343,2656.26,2021-07-02
348,4088.97,2021-07-02
352,1.45,2021-07-02
355,2363.34,2021-07-02
358,0.03,2021-07-02
359,689.3,2021-07-02
360,0.22,2021-07-02
362,2213.64,2021-07-02
363,75.26,2021-07-02
369,4085.9,2021-07-02
375,761.86,2021-07-02
378,3322.67,2021-07-02
380,508.2,2021-07-02
381,7713.08,2021-07-02
383,794.95,2021-07-02
385,1.36,2021-07-02
387,8.44,2021-07-02
388,2.72,2021-07-02
390,2057.31,2021-07-02
391,902.6,2021-07-02
392,3356.47,2021-07-02
393,1000.0,2021-07-02
394,0.37,2021-07-02
395,121.12,2021-07-02
396,8670.7,2021-07-02
397,4170.54,2021-07-02
398,10236.78,2021-07-02
399,7.31,2021-07-02
400,1256.18,2021-07-02
401,-4621.15,2021-07-02
403,4.26,2021-07-02
404,-60.41,2021-07-02
405,2.91,2021-07-02
408,475.46,2021-07-02
410,10.38,2021-07-02
413,1.26,2021-07-02
414,0.01,2021-07-02
415,0.69,2021-07-02
418,277.7,2021-07-02
420,4.19,2021-07-02
424,1155.93,2021-07-02
425,-1084.94,2021-07-02
426,1499.06,2021-07-02
427,10997.42,2021-07-02
431,0.12,2021-07-02
432,142.01,2021-07-02
434,142.1,2021-07-02
436,-3173.66,2021-07-02
440,13.28,2021-07-02
442,80.87,2021-07-02
444,25.35,2021-07-02
445,-49.74,2021-07-02
446,0.73,2021-07-02
447,0.7,2021-07-02
448,6677.79,2021-07-02
451,110.9,2021-07-02
452,1212.26,2021-07-02
454,315.89,2021-07-02
457,0.32,2021-07-02
458,0.28,2021-07-02
459,3.88,2021-07-02
461,4678.21,2021-07-02
462,3.21,2021-07-02
466,1844.36,2021-07-02
471,127.29,2021-07-02
472,240.21,2021-07-02
475,500.66,2021-07-02
477,0.35,2021-07-02
478,0.88,2021-07-02
479,3200.23,2021-07-02
480,100.45,2021-07-02
481,62.1,2021-07-02
484,260.48,2021-07-02
485,17.31,2021-07-02
486,0.89,2021-07-02
489,467.15,2021-07-02
491,124.97,2021-07-02
492,5.9,2021-07-02
494,4812.79,2021-07-02
495,5934.05,2021-07-02
498,-350.47,2021-07-02
499,3332.25,2021-07-02
501,0.05,2021-07-02
502,254.64,2021-07-02
503,1328.48,2021-07-02
507,-999.26,2021-07-02
508,176.56,2021-07-02
510,255.2,2021-07-02
512,136.36,2021-07-02
513,-1320.25,2021-07-02
514,0.61,2021-07-02
518,118.28,2021-07-02
519,3828.29,2021-07-02
520,40232.71,2021-07-02
521,1.03,2021-07-02
522,0.83,2021-07-02
524,33035.49,2021-07-02
527,131.87,2021-07-02
529,689.04,2021-07-02
530,10.24,2021-07-02
532,22565.69,2021-07-02
535,2440.29,2021-07-02
536,0.78,2021-07-02
537,-209.94,2021-07-02
541,605.87,2021-07-02
543,39279.23,2021-07-02
545,12.28,2021-07-02
546,7901.65,2021-07-02
547,6066.51,2021-07-02
549,957.26,2021-07-02
552,1870.47,2021-07-02
553,3011.59,2021-07-02
555,21569.91,2021-07-02
556,31280.54,2021-07-02
557,351.31,2021-07-02
558,-6874.59,2021-07-02
562,-4723.22,2021-07-02
564,17573.01,2021-07-02
565,103.94,2021-07-02
566,4637.95,2021-07-02
567,-631.74,2021-07-02
568,-1.77,2021-07-02
569,31.96,2021-07-02
573,-7466.71,2021-07-02
574,-2591.48,2021-07-02
576,7.83,2021-07-02
579,-83.06,2021-07-02
580,87.74,2021-07-02
581,0.33,2021-07-02
584,15.03,2021-07-02
586,-2402.05,2021-07-02
588,204.52,2021-07-02
589,1415.96,2021-07-02
591,-380.34,2021-07-02
592,1028.89,2021-07-02
594,93.04,2021-07-02
595,62.1,2021-07-02
597,34.17,2021-07-02
603,992.12,2021-07-02
605,8.24,2021-07-02
606,868.01,2021-07-02
607,1100.21,2021-07-02
609,529.96,2021-07-02
610,84.74,2021-07-02
611,59.7,2021-07-02
612,13.73,2021-07-02
613,-2512.28,2021-07-02
615,1301.64,2021-07-02
616,8713.38,2021-07-02
617,3.16,2021-07-02
619,37.37,2021-07-02
623,1748.45,2021-07-02
624,711.7,2021-07-02
625,22.59,2021-07-02
626,-4.0,2021-07-02
627,347.5,2021-07-02
628,3180.53,2021-07-02
629,543.13,2021-07-02
632,3522.98,2021-07-02
633,410.24,2021-07-02
634,24.74,2021-07-02
639,0.64,2021-07-02
640,244.32,2021-07-02
641,388.07,2021-07-02
644,302.38,2021-07-02
646,3557.92,2021-07-02
647,4389.19,2021-07-02
649,756.61,2021-07-02
650,0.26,2021-07-02
651,322.21,2021-07-02
652,2.81,2021-07-02
655,23.74,2021-07-02
657,-2952.06,2021-07-02
658,2233.18,2021-07-02
660,0.76,2021-07-02
661,1719.35,2021-07-02
662,0.77,2021-07-02
668,-157.41,2021-07-02
669,2550.4,2021-07-02
670,-812.75,2021-07-02
671,1.48,2021-07-02
677,0.06,2021-07-02
678,218.03,2021-07-02
679,-3733.03,2021-07-02
681,1.13,2021-07-02
682,127.29,2021-07-02
684,212.71,2021-07-02
686,696.74,2021-07-02
688,641.38,2021-07-02
690,356.95,2021-07-02
691,564.43,2021-07-02
692,16239.78,2021-07-02
693,137.21,2021-07-02
694,0.32,2021-07-02
696,5.31,2021-07-02
697,1923.13,2021-07-02
698,113.37,2021-07-02
700,494.78,2021-07-02
701,-7.37,2021-07-02
703,1429.37,2021-07-02
704,1579.2,2021-07-02
706,587.36,2021-07-02
707,1336.74,2021-07-02
708,922.44,2021-07-02
709,3354.48,2021-07-02
710,657.84,2021-07-02
712,729.43,2021-07-02
713,8.04,2021-07-02
714,866.1,2021-07-02
715,7666.93,2021-07-02
716,41.47,2021-07-02
719,-700.59,2021-07-02
720,273.71,2021-07-02
722,132.16,2021-07-02
725,6.59,2021-07-02
726,3315.42,2021-07-02
727,531.44,2021-07-02
729,575.94,2021-07-02
733,40.72,2021-07-02
734,3.42,2021-07-02
735,2.93,2021-07-02
737,-12996.95,2021-07-02
738,-19.43,2021-07-02
739,1505.77,2021-07-02
740,0.94,2021-07-02
741,8.7,2021-07-02
742,6325.45,2021-07-02
743,138.42,2021-07-02
746,132.04,2021-07-02
747,446.58,2021-07-02
753,63.7,2021-07-02
755,4.58,2021-07-02
756,3.69,2021-07-02
760,3.4,2021-07-02
761,4.54,2021-07-02
762,5671.19,2021-07-02
763,2.46,2021-07-02
766,0.92,2021-07-02
768,116.89,2021-07-02
770,1447.34,2021-07-02
771,57.69,2021-07-02
772,-4439.28,2021-07-02
773,14.0,2021-07-02
774,109.55,2021-07-02
775,201.24,2021-07-02
776,14124.62,2021-07-02
777,4907.95,2021-07-02
778,252.61,2021-07-02
782,501.1,2021-07-02
786,102.76,2021-07-02
787,7.67,2021-07-02
788,4290.66,2021-07-02
789,11331.9,2021-07-02
790,4.06,2021-07-02
791,85.13,2021-07-02
794,202.01,2021-07-02
796,9.66,2021-07-02
797,11154.94,2021-07-02
798,40.0,2021-07-02
800,3941.19,2021-07-02
801,-492.74,2021-07-02
803,9512.1,2021-07-02
805,7515.77,2021-07-02
807,1102.38,2021-07-02
809,714.0,2021-07-02
810,2115.58,2021-07-02
811,165.14,2021-07-02
813,890.81,2021-07-02
815,-1904.03,2021-07-02
816,169.44,2021-07-02
817,-199.71,2021-07-02
819,858.69,2021-07-02
820,50.6,2021-07-02
821,62.37,2021-07-02
823,4.88,2021-07-02
832,762.13,2021-07-02
834,-1039.31,2021-07-02
835,17.92,2021-07-02
838,-54.81,2021-07-02
839,-211.34,2021-07-02
841,1276.76,2021-07-02
842,49.14,2021-07-02
843,1.38,2021-07-02
844,139.31,2021-07-02
845,600.31,2021-07-02
846,-1.46,2021-07-02
847,361.89,2021-07-02
848,38755.69,2021-07-02
851,1352.09,2021-07-02
852,2009.36,2021-07-02
853,29754.79,2021-07-02
856,1.75,2021-07-02
858,1.12,2021-07-02
861,2977.96,2021-07-02
864,-9.79,2021-07-02
866,3151.48,2021-07-02
867,7.95,2021-07-02
868,294.31,2021-07-02
870,12356.8,2021-07-02
871,-576.11,2021-07-02
872,6472.31,2021-07-02
873,66.27,2021-07-02
874,6.07,2021-07-02
878,1551.3,2021-07-02
879,12300.42,2021-07-02
880,-5947.71,2021-07-02
881,24982.0,2021-07-02
883,9495.73,2021-07-02
884,-29.0,2021-07-02
885,-2064.39,2021-07-02
886,70.34,2021-07-02
887,504.75,2021-07-02
888,3568.76,2021-07-02
889,2371.69,2021-07-02
890,9.2,2021-07-02
891,151.12,2021-07-02
894,0.31,2021-07-02
895,1029.89,2021-07-02
897,4.81,2021-07-02
902,-504.69,2021-07-02
908,565.49,2021-07-02
910,749.14,2021-07-02
911,37193.02,2021-07-02
912,16.04,2021-07-02
913,0.24,2021-07-02
915,1219.52,2021-07-02
918,1355.03,2021-07-02
919,1243.6,2021-07-02
920,22.62,2021-07-02
921,2.51,2021-07-02
922,1333.28,2021-07-02
928,468.9,2021-07-02
934,1.23,2021-07-02
937,6041.95,2021-07-02
938,19.8,2021-07-02
939,147.18,2021-07-02
941,1027.85,2021-07-02
942,27209.05,2021-07-02
946,38.21,2021-07-02
947,2.26,2021-07-02
948,22.94,2021-07-02
951,34.48,2021-07-02
953,585.72,2021-07-02
954,702.96,2021-07-02
958,2.0,2021-07-02
960,1419.18,2021-07-02
961,3450.55,2021-07-02
964,21.37,2021-07-02
971,684.71,2021-07-02
973,1807.58,2021-07-02
975,1024.56,2021-07-02
976,1.59,2021-07-02
977,-4482.18,2021-07-02
979,10.8,2021-07-02
982,5.94,2021-07-02
990,1089.87,2021-07-02
992,1114.54,2021-07-02
993,3941.19,2021-07-02
994,3455.52,2021-07-02
995,914.59,2021-07-02
996,3626.17,2021-07-02
997,55.34,2021-07-02
1000,2.35,2021-07-02
1001,465.46,2021-07-02
1002,-1100.85,2021-07-02
1003,0.44,2021-07-02
1005,0.4,2021-07-02
1006,4363.09,2021-07-02
1009,0.27,2021-07-02
1010,78.37,2021-07-02
1011,8641.63,2021-07-02
1013,739.94,2021-07-02
1014,128.21,2021-07-02
1017,3.08,2021-07-02
1018,28.52,2021-07-02
1020,2763.09,2021-07-02
1022,22.37,2021-07-02
1023,7.88,2021-07-02
1024,1207.48,2021-07-02
1026,433.86,2021-07-02
1027,-7597.89,2021-07-02
1028,0.45,2021-07-02
1030,9428.8,2021-07-02
1031,77.09,2021-07-02
1032,0.93,2021-07-02
1033,90.95,2021-07-02
1034,510.37,2021-07-02
1038,-185.22,2021-07-02
1039,101.74,2021-07-02
1040,1946.45,2021-07-02
1041,1156.91,2021-07-02
1042,0.24,2021-07-02
1043,376.51,2021-07-02
1044,7011.99,2021-07-02
1045,3.61,2021-07-02
1049,6.51,2021-07-02
1050,841.97,2021-07-02
1051,268.46,2021-07-02
1052,-88.28,2021-07-02
1053,273.36,2021-07-02
1054,1435.42,2021-07-02
1055,43.84,2021-07-02
1056,-270.33,2021-07-02
1057,4.71,2021-07-02
1059,5645.22,2021-07-02
1061,10968.52,2021-07-02
1062,0.29,2021-07-02
1063,272.37,2021-07-02
1065,4627.29,2021-07-02
1067,427.41,2021-07-02
1069,3.24,2021-07-02
1071,-495.87,2021-07-02
1072,0.39,2021-07-02
1074,-79.4,2021-07-02
1075,2231.15,2021-07-02
1076,56.07,2021-07-02
1077,10.0,2021-07-02
1078,369.2,2021-07-02
1080,2082.23,2021-07-02
1081,71.51,2021-07-02
1082,778.23,2021-07-02
1083,10.98,2021-07-02
1084,26210.59,2021-07-02
1085,6694.04,2021-07-02
1086,3783.73,2021-07-02
1088,1743.32,2021-07-02
1089,580.6,2021-07-02
1092,0.14,2021-07-02
1095,101.98,2021-07-02
1100,9438.94,2021-07-02
1101,250.1,2021-07-02
1102,5850.73,2021-07-02
1104,15.74,2021-07-02
1105,7162.62,2021-07-02
1109,-576.04,2021-07-02
1110,10931.49,2021-07-02
1111,15.61,2021-07-02
1114,-20.41,2021-07-02
1115,9.15,2021-07-02
1116,6.66,2021-07-02
1117,1799.02,2021-07-02
1118,482.46,2021-07-02
1119,27020.07,2021-07-02
1120,198.85,2021-07-02
1123,6.0,2021-07-02
1124,545.61,2021-07-02
1125,10414.91,2021-07-02
1126,7859.19,2021-07-02
1127,1120.17,2021-07-02
1128,125.57,2021-07-02
1129,6370.62,2021-07-02
1131,500.0,2021-07-02
1132,1054.16,2021-07-02
1133,17736.56,2021-07-02
1136,-1318.0,2021-07-02
1137,1816.24,2021-07-02
1140,485.36,2021-07-02
1141,64.28,2021-07-02
1143,154.36,2021-07-02
1144,9423.39,2021-07-02
1147,-61.71,2021-07-02
1148,1761.58,2021-07-02
1149,0.46,2021-07-02
1153,2677.55,2021-07-02
1155,533.01,2021-07-02
1157,5221.59,2021-07-02
1159,1177.86,2021-07-02
1161,11282.35,2021-07-02
1162,6468.31,2021-07-02
1163,4606.04,2021-07-02
1164,-4916.42,2021-07-02
1166,-554.33,2021-07-02
1167,0.84,2021-07-02
1169,149.3,2021-07-02
1171,111.7,2021-07-02
1174,357.73,2021-07-02
1177,14291.19,2021-07-02
1178,598.55,2021-07-02
1179,171.54,2021-07-02
1180,0.57,2021-07-02
1181,13715.68,2021-07-02
1182,850.23,2021-07-02
1183,1.56,2021-07-02
1186,0.96,2021-07-02
1190,215.72,2021-07-02
1191,2662.86,2021-07-02
1194,106.29,2021-07-02
1197,20842.83,2021-07-02
1198,13.46,2021-07-02
1199,-4.45,2021-07-02
1200,-1443.03,2021-07-02
1202,1456.76,2021-07-02
1203,9387.55,2021-07-02
1204,17317.73,2021-07-02
1205,6.2,2021-07-02
1208,12796.39,2021-07-02
1209,8626.1,2021-07-02
1211,-4.15,2021-07-02
1212,940.11,2021-07-02
1213,1460.33,2021-07-02
1214,997.8,2021-07-02
1215,-7.26,2021-07-02
1216,-3004.38,2021-07-02
1218,0.04,2021-07-02
1220,13743.99,2021-07-02
1221,5401.1,2021-07-02
1223,20.8,2021-07-02
1224,555.65,2021-07-02
1225,2432.24,2021-07-02
1226,3.34,2021-07-02
1227,4842.25,2021-07-02
1228,2369.69,2021-07-02
1230,23740.33,2021-07-02
1233,97.82,2021-07-02
1234,2572.54,2021-07-02
1235,871.9,2021-07-02
1237,6.23,2021-07-02
1238,12.54,2021-07-02
1240,38009.71,2021-07-02
1242,10.12,2021-07-02
1243,2.23,2021-07-02
1244,10883.23,2021-07-02
1245,5731.28,2021-07-02
1246,20.29,2021-07-02
1247,688.03,2021-07-02
1249,5117.09,2021-07-02
1250,-2952.06,2021-07-02
1251,361.86,2021-07-02
1252,2074.71,2021-07-02
